U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U2,U53,U79
U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,U1,-,-
U4,U32,U72,U29,U66,U60,U52,U64,U59,U20,U9,U54,U47,U13,U7,U26,U70,U28,U45,U19,U75,U25,U21,-,-
-,-,-,-,-,-,-,-,U17,-,-,-,U50,-,-,U71,-,U34,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,U56,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1114,1358,1504,0,252,525,0,1630,0,741,1108,1310,0,1705,540,450,0,213,0,0,0,1656,253,1680,0,0,1406,0,0,540,1317,0,994,251,1630,212,640,1347,259,442,1560,229,542,652,0,352,0,254,956,0,457,0,0,0,245,0,1573,1016,0,0,1197,1133,418,0,222,0,459,212,945,0,0,0,245,1506,0,1550,1040,542,0,1582,0.25573400499089655
4.716434782608696,4.716434782608696,0,21.3136,0,0,22.790399999999998,0,22.7328,0,0,0,19.9936,0,0,0,15.1542,0,23.74,22.6,17.0064,0,0,0,16.5512,13.4096,0,8.928,22.848,0,0,23.0208,0,7.932600000000002,0,0,0,0,0,0,0,0,0,0,15.5392,0,13.824,0,0,16.9344,0,22.0064,26.0,23.74,0,9.348000000000003,0,0,13.623999999999999,17.136,0,0,0,21.344,0,21.2336,0,0,0,23.628800000000002,16.736,21.638399999999997,0,0,17.130399999999998,0,0,0,26.0,0,0.34350944851121473
-2556.996540460454
0.00603175163269043
